generation,best_fitness,mean_fitness,mean_links,max_links,dist_to_center
0,2221.805,145.16,6.04,13,6.343
1,2221.805,282.042,5.32,14,6.343
2,2221.805,333.192,5.44,16,6.343
3,2221.805,396.777,4.8,13,6.343
4,2311.323,360.144,5.32,22,6.219
5,2311.323,362.194,5.32,13,6.219
6,2311.323,397.338,5.96,19,6.219
7,2311.323,370.208,4.78,13,6.219
8,2421.855,369.524,5.34,14,6.158
9,2614.338,355.295,5.58,15,5.974
10,2614.338,276.608,4.72,15,5.974
11,2614.338,272.802,5.16,14,5.974
12,2614.338,337.291,4.72,11,5.974
13,2614.338,219.813,4.58,14,5.974
14,2614.338,187.613,4.66,14,5.974
15,2614.338,184.79,4.94,13,5.974
16,2614.338,259.529,4.64,10,5.974
17,2614.338,261.248,6.02,15,5.974
18,2614.338,277.93,4.78,15,5.974
19,2614.338,361.672,4.92,14,5.974
20,2778.686,369.193,5.48,16,5.813
21,2778.686,314.583,5.64,32,5.813
22,2778.686,341.156,5.34,14,5.813
23,2778.686,312.645,6.1,16,5.813
24,2778.686,337.298,5.6,16,5.813
25,2778.686,282.511,5.4,14,5.813
26,2778.686,279.297,6.26,16,5.813
27,2778.686,513.507,5.76,15,5.813
28,2778.686,448.066,5.56,17,5.813
29,2778.686,372.13,5.42,14,5.813
30,2778.686,345.441,4.1,13,5.813
31,2778.686,378.266,4.28,14,5.813
32,2778.686,543.958,2.92,11,5.813
33,2778.686,503.143,2.84,11,5.813
34,2778.686,541.838,2.58,14,5.813
35,2778.686,389.461,3.26,13,5.813
36,2778.686,497.142,2.72,14,5.813
37,2778.686,474.543,3.64,16,5.813
38,2778.686,417.297,4.56,22,5.813
39,2778.686,555.983,3.24,16,5.813
40,2778.686,440.215,4.7,41,5.813
41,2778.686,539.895,2.32,16,5.813
42,2778.686,480.461,2.6,15,5.813
43,2778.686,555.063,1.78,6,5.813
44,2778.686,645.787,1.88,8,5.813
45,2778.686,664.282,2.1,9,5.813
46,2778.686,597.215,2.66,11,5.813
47,2778.686,580.232,2.32,8,5.813
48,2778.686,679.976,2.12,8,5.813
49,2778.686,761.554,2.66,9,5.813
50,2778.686,749.471,2.58,11,5.813
51,2778.686,704.801,2.52,6,5.813
52,2778.686,704.721,2.64,10,5.813
53,2778.686,794.03,3.0,11,5.813
54,2778.686,688.034,2.86,15,5.813
55,2778.686,879.15,2.56,11,5.813
56,2809.499,855.117,3.14,13,5.756
57,2809.499,791.486,2.66,7,5.756
58,2809.499,975.181,2.74,7,5.756
59,2809.499,675.271,2.44,7,5.756
60,2809.499,882.495,2.92,7,5.756
61,2809.499,928.215,2.94,7,5.756
62,2809.499,771.19,2.72,7,5.756
63,2809.499,623.247,2.84,8,5.756
64,2809.499,889.201,2.86,9,5.756
65,2809.499,758.855,2.74,7,5.756
66,2809.499,307.16,2.56,6,5.756
67,2818.025,746.338,3.3,9,5.747
68,2818.025,600.623,2.84,7,5.747
69,2818.025,647.175,2.74,9,5.747
70,2818.025,782.576,3.38,9,5.747
71,2818.025,638.162,2.98,9,5.747
72,2818.025,769.311,2.9,6,5.747
73,2818.025,691.535,3.38,9,5.747
74,2818.025,719.957,2.72,7,5.747
75,2818.025,855.139,2.8,9,5.747
76,2818.025,969.483,3.18,13,5.747
77,2818.025,627.774,3.0,9,5.747
78,2840.528,870.705,2.7,7,5.725
79,2840.528,862.48,2.8,7,5.725
80,2912.909,790.495,2.6,7,5.654
81,2912.909,651.823,2.86,11,5.654
82,2912.909,612.86,2.64,7,5.654
83,2912.909,577.44,2.88,9,5.654
84,2912.909,642.461,3.06,7,5.654
85,2912.909,627.249,2.88,7,5.654
86,2912.909,861.024,2.76,7,5.654
87,2912.909,645.254,2.62,9,5.654
88,2912.909,848.781,2.98,6,5.654
89,2912.909,651.068,3.2,11,5.654
90,2912.909,777.458,3.04,15,5.654
91,2912.909,371.93,2.82,9,5.654
92,2912.909,1029.097,3.2,7,5.654
93,2992.934,832.555,3.02,9,5.579
94,2992.934,662.829,3.2,9,5.579
95,2992.934,964.566,2.86,7,5.579
96,2992.934,754.313,3.06,7,5.579
97,2992.934,789.381,2.86,7,5.579
98,2992.934,887.996,2.66,9,5.579
99,2992.934,872.086,2.88,9,5.579
