generation,best_fitness,mean_fitness,mean_links,max_links,dist_to_center
0,1794.841,111.746,5.9,10,6.727
1,1794.841,320.024,6.833,27,6.727
2,2397.872,511.491,6.033,9,6.146
3,2397.872,360.683,8.1,27,6.146
4,2397.872,268.196,7.133,12,6.146
5,2428.539,535.456,8.233,28,6.109
6,2428.539,425.418,8.767,21,6.109
7,2428.539,303.661,8.867,21,6.109
8,2428.539,397.15,8.8,22,6.109
9,2500.232,367.442,8.4,27,6.038
10,2500.232,720.24,6.7,15,6.038
11,2500.232,364.148,7.1,22,6.038
12,2500.232,545.777,8.3,16,6.038
13,2500.232,307.828,8.067,19,6.038
14,2500.232,499.277,6.567,13,6.038
15,2500.232,343.301,8.4,27,6.038
16,2500.232,304.841,8.1,27,6.038
17,2500.232,381.443,8.367,15,6.038
18,2500.232,409.621,7.6,13,6.038
19,2500.232,441.202,7.267,13,6.038
20,2500.232,384.579,8.267,19,6.038
21,2500.232,587.228,8.533,13,6.038
22,2500.232,344.653,7.9,27,6.038
23,2500.232,587.641,9.333,27,6.038
24,2500.232,375.743,9.067,22,6.038
25,2500.232,428.741,7.367,13,6.038
26,2500.232,236.931,6.367,13,6.038
27,2500.232,668.862,7.5,14,6.038
28,2500.232,474.665,8.767,22,6.038
29,2500.232,369.765,8.7,22,6.038
30,2500.232,722.021,8.333,15,6.038
31,2500.232,645.219,8.267,15,6.038
32,2500.232,470.803,8.733,40,6.038
33,2500.232,420.254,7.567,15,6.038
34,2500.232,282.685,7.4,15,6.038
35,2500.232,563.982,9.167,27,6.038
36,2500.232,277.883,9.5,19,6.038
37,2500.232,526.076,9.233,29,6.038
38,2555.94,783.239,8.2,16,5.983
39,2555.94,463.065,7.767,16,5.983
40,2555.94,331.928,7.0,13,5.983
41,2555.94,489.12,8.833,31,5.983
42,2555.94,544.99,8.4,16,5.983
43,2555.94,360.197,8.067,15,5.983
44,2555.94,203.579,7.867,31,5.983
45,2555.94,506.941,6.767,22,5.983
46,2555.94,287.506,8.2,40,5.983
47,2555.94,421.979,7.6,13,5.983
48,2555.94,371.296,8.567,40,5.983
49,2555.94,348.608,7.033,13,5.983
50,2555.94,516.396,8.9,27,5.983
51,2555.94,549.596,8.1,15,5.983
52,2555.94,383.624,7.233,13,5.983
53,2555.94,361.107,7.9,22,5.983
54,2555.94,414.228,6.933,13,5.983
55,2555.94,327.273,8.033,22,5.983
56,2555.94,464.192,6.233,15,5.983
57,2555.94,256.268,5.967,13,5.983
58,2555.94,410.653,7.3,15,5.983
59,2555.94,342.19,8.433,31,5.983
60,2555.94,379.252,9.0,27,5.983
61,2555.94,430.767,10.467,40,5.983
62,2555.94,509.471,11.1,40,5.983
63,2555.94,448.846,8.267,15,5.983
64,2555.94,342.354,6.433,13,5.983
65,2555.94,388.579,8.9,27,5.983
66,2555.94,441.618,8.767,22,5.983
67,2555.94,513.383,6.9,13,5.983
68,2555.94,479.953,7.067,16,5.983
69,2555.94,395.704,7.133,16,5.983
70,2563.153,484.333,7.833,13,5.976
71,2563.153,492.483,8.367,15,5.976
72,2563.153,444.141,10.167,40,5.976
73,2563.153,612.046,7.3,15,5.976
74,2563.153,496.52,7.633,15,5.976
75,2563.153,618.47,7.867,16,5.976
76,2563.153,501.614,7.467,13,5.976
77,2563.153,531.88,9.2,16,5.976
78,2563.153,467.331,7.867,13,5.976
79,2563.153,303.47,7.4,13,5.976
80,2563.153,220.679,6.233,13,5.976
81,2563.153,390.179,6.833,16,5.976
82,2563.153,282.119,6.833,13,5.976
83,2726.804,315.132,7.067,16,5.836
84,2726.804,327.151,6.367,13,5.836
85,2726.804,368.929,7.0,27,5.836
86,2726.804,363.06,6.867,13,5.836
87,2726.804,404.241,7.433,13,5.836
88,2726.804,375.802,9.267,40,5.836
89,2726.804,465.726,7.3,15,5.836
90,2726.804,421.481,6.2,21,5.836
91,2726.804,467.062,7.7,22,5.836
92,2726.804,522.294,7.5,15,5.836
93,2726.804,346.253,9.567,40,5.836
94,2726.804,703.175,9.1,31,5.836
95,2726.804,371.3,7.267,31,5.836
96,2726.804,528.518,8.167,22,5.836
97,2726.804,520.239,7.067,13,5.836
98,2726.804,476.551,8.133,13,5.836
99,2726.804,486.048,7.867,27,5.836
