generation,best_fitness,mean_fitness,mean_links,max_links,dist_to_center
0,216.088,36.386,6.0,13,8.324
1,216.088,84.077,6.0,10,8.324
2,283.593,76.332,4.2,9,8.224
3,283.593,64.855,3.4,9,8.224
4,283.593,101.452,2.8,4,8.224
5,283.593,66.218,3.4,7,8.224
6,410.082,138.859,2.8,4,8.097
7,410.082,114.675,2.5,3,8.097
8,410.082,126.48,2.7,6,8.097
9,410.082,62.074,4.3,9,8.097
10,410.082,130.661,4.0,10,8.097
11,410.082,88.067,4.0,7,8.097
12,410.082,81.949,4.0,7,8.097
13,410.082,115.537,3.7,10,8.097
14,423.036,133.992,2.8,6,8.092
15,1291.051,283.824,4.6,7,7.219
16,1291.051,210.684,5.8,11,7.219
17,1291.051,226.982,5.6,9,7.219
18,1291.051,255.002,5.4,7,7.219
19,1314.605,354.198,6.1,7,7.196
20,1314.605,209.686,5.9,11,7.196
21,1314.605,395.739,7.0,10,7.196
22,1394.622,287.116,8.7,22,7.146
23,1394.622,160.438,5.0,7,7.146
24,1394.622,342.346,5.0,7,7.146
25,1394.622,235.5,5.4,7,7.146
26,1394.622,189.062,6.0,7,7.146
27,1394.622,162.936,3.9,7,7.146
28,1394.622,458.151,6.2,7,7.146
29,1394.622,218.075,5.0,7,7.146
30,1394.622,336.884,6.0,11,7.146
31,1394.622,280.038,5.0,13,7.146
32,1394.622,351.977,7.6,22,7.146
33,1394.622,428.256,5.7,7,7.146
34,1394.622,304.822,4.8,7,7.146
35,1394.622,207.618,6.1,11,7.146
36,1394.622,543.812,5.4,7,7.146
37,1394.622,427.131,6.2,7,7.146
38,1394.622,354.021,6.2,9,7.146
39,1394.622,286.095,5.6,11,7.146
40,1394.622,502.28,6.4,11,7.146
41,1394.622,287.876,5.1,7,7.146
42,1394.622,286.552,7.0,9,7.146
43,1394.622,424.222,6.1,7,7.146
44,1394.622,192.935,6.1,10,7.146
45,1394.622,239.326,5.8,7,7.146
46,1394.622,217.393,5.8,7,7.146
47,1394.622,336.761,4.9,7,7.146
48,1394.622,288.791,7.8,11,7.146
49,1394.622,258.262,6.4,10,7.146
50,1394.622,368.28,5.2,7,7.146
51,1394.622,414.566,5.9,7,7.146
52,1394.622,430.947,6.8,9,7.146
53,1394.622,272.945,5.8,7,7.146
54,1394.622,369.69,5.5,10,7.146
55,1394.622,274.686,5.6,8,7.146
56,1394.622,298.75,6.0,11,7.146
57,1394.622,253.686,4.6,7,7.146
58,1394.622,329.741,6.0,7,7.146
59,1651.258,564.942,6.9,10,6.929
60,1651.258,308.021,7.4,19,6.929
61,1651.258,336.884,10.8,19,6.929
62,1651.258,223.341,10.6,22,6.929
63,1651.258,242.09,8.8,13,6.929
64,1651.258,310.247,12.3,22,6.929
65,1651.258,315.764,8.5,13,6.929
66,1651.258,500.944,9.1,22,6.929
67,1651.258,275.745,5.8,10,6.929
68,1651.258,493.463,6.7,13,6.929
69,1651.258,334.625,8.2,12,6.929
70,1651.258,242.005,9.7,23,6.929
71,1651.258,215.368,8.9,24,6.929
72,1651.258,214.283,11.1,22,6.929
73,1651.258,312.283,11.3,22,6.929
74,1651.258,227.73,12.2,22,6.929
75,1651.258,563.224,10.9,22,6.929
76,1651.258,432.594,9.0,22,6.929
77,1651.258,346.653,7.1,15,6.929
78,1651.258,464.832,8.8,22,6.929
79,1651.258,480.87,8.4,22,6.929
80,1651.258,545.147,8.6,13,6.929
81,1681.201,425.446,7.1,12,6.901
82,1862.744,440.738,8.1,16,6.687
83,1862.744,362.881,10.0,17,6.687
84,1862.744,344.121,13.4,31,6.687
85,2215.148,620.32,13.1,31,6.328
86,2215.148,559.314,15.7,31,6.328
87,2215.148,510.313,15.6,31,6.328
88,3318.712,736.672,14.5,24,5.813
89,3318.712,481.871,13.2,31,5.813
90,3318.712,610.856,18.0,33,5.813
91,3318.712,595.048,17.8,31,5.813
92,3318.712,657.658,20.9,39,5.813
93,3318.712,760.595,13.9,31,5.813
94,3318.712,528.34,14.7,32,5.813
95,3318.712,853.149,16.0,31,5.813
96,3318.712,455.627,10.5,17,5.813
97,3318.712,599.486,17.8,31,5.813
98,3318.712,583.159,17.5,35,5.813
99,3318.712,670.68,18.0,31,5.813
