generation,best_fitness,mean_fitness,mean_links,max_links,dist_to_center
0,39.677,21.157,5.5,13,8.477
1,783.637,99.485,4.8,13,7.733
2,954.564,462.881,3.4,5,7.553
3,954.564,390.578,3.1,5,7.553
4,954.564,419.099,3.0,4,7.553
5,954.564,272.083,3.4,4,7.553
6,1011.772,403.647,2.6,4,7.507
7,1011.772,339.914,2.4,4,7.507
8,1011.772,232.188,3.6,7,7.507
9,1011.772,233.304,4.5,15,7.507
10,1011.772,240.12,3.1,4,7.507
11,1011.772,448.409,3.4,4,7.507
12,1970.009,514.496,2.9,4,6.559
13,1970.009,933.96,3.6,4,6.559
14,1970.009,646.831,2.6,4,6.559
15,1970.009,625.377,3.0,4,6.559
16,1970.009,539.326,2.9,4,6.559
17,2293.835,815.889,3.2,7,6.241
18,2293.835,864.931,4.7,13,6.241
19,2293.835,738.781,3.8,6,6.241
20,2293.835,693.143,3.5,5,6.241
21,2293.835,564.417,3.5,4,6.241
22,2293.835,746.832,3.4,4,6.241
23,2293.835,664.289,6.6,13,6.241
24,2293.835,1054.821,5.0,13,6.241
25,2293.835,1051.28,3.7,4,6.241
26,2293.835,473.682,3.0,6,6.241
27,2293.835,977.091,3.1,4,6.241
28,2293.835,970.145,4.6,10,6.241
29,2293.835,851.058,3.7,4,6.241
30,2293.835,781.124,4.0,4,6.241
31,2293.835,607.072,4.2,10,6.241
32,2293.835,490.172,3.5,5,6.241
33,2293.835,824.364,3.1,4,6.241
34,2293.835,523.362,4.4,13,6.241
35,2293.835,682.214,3.7,4,6.241
36,2293.835,387.558,3.0,4,6.241
37,2293.835,952.257,3.4,4,6.241
38,2293.835,816.297,5.1,13,6.241
39,2293.835,574.721,2.5,4,6.241
40,2293.835,894.209,4.0,4,6.241
41,2293.835,441.294,2.8,4,6.241
42,2293.835,776.109,3.7,4,6.241
43,2293.835,792.856,4.3,13,6.241
44,2293.835,599.425,4.0,4,6.241
45,2293.835,917.658,4.4,13,6.241
46,2293.835,340.213,2.8,4,6.241
47,2293.835,657.715,4.3,10,6.241
48,2293.835,620.589,4.0,7,6.241
49,2293.835,715.138,4.2,5,6.241
